ID,NOMBRE,APELLIDOS,birthday,género
164222,Fahim,ANWARI,1999-05-05,M
162857,Paolo,PRISKA,2004-09-15,M
226492,Grisi,KOXHAKU,2006-03-24,M
247922,Arla,DERMISHI,2010-01-29,F
213888,Kaltra,MECA,2008-03-26,F
125416,Jaouad,SYOUD,1999-09-17,M
102278,Oussama,SAHNOUNE,1992-08-02,M
113400,Amel,MELIH,1993-10-06,F
154154,Patrick,PELEGRINA CUEN,2001-08-14,M
128785,Bernat,LOMERO,1997-12-28,M
105101,Nadia,TUDO CUBELLS,1997-04-08,F
149790,Henrique,MASCARENHAS,2001-06-21,M
154766,Lia,LIMA,2001-09-09,F
198127,N'hara,FERNANDES,2006-10-16,F
150205,Jadon,WUILLIEZ,2002-06-13,M
118959,Stefano,MITCHELL,1999-09-22,M
210758,Ellie,SHAW,2008-08-10,F
210786,Aunjelique,LIDDIE,2007-12-15,F
210554,Ulises,SARAVIA,2005-10-27,M
110696,Andrea,BERRINO,1994-02-14,F
125910,Macarena,CEBALLOS,1995-01-12,F
210649,Agostina,HEIN,2008-04-24,F
203067,Ashot,CHAKHOYAN,2006-01-30,M
129469,Artur,BARSEGHYAN,2002-03-29,M
146570,Varsenik,MANUCHARYAN,2003-07-11,F
108147,Ani,POGHOSYAN,2000-06-04,F
202256,Mohamad Eyad,MASOUD,1995-01-10,M
198375,Alaa,MASO,2000-01-01,M
105498,Mikel,SCHREUDERS,1998-09-21,M
105499,Patrick,GROTERS,1999-01-28,M
123272,Micah,MASEI,1999-03-22,M
120897,Bradley,WOODWARD,1998-07-05,M
191499,Sam,WILLIAMSON,1997-12-19,M
202754,Kai James,TAYLOR,2003-08-18,M
120879,Jack,CARTWRIGHT,1998-09-22,M
150361,Elijah,WINNINGTON,2000-05-05,M
202663,Isaac,COOPER,2004-01-07,M
100864,Cameron,MCEVOY,1994-05-13,M
235105,Jaclyn,BARCLAY,2006-12-27,F
235103,Iona,ANDERSON,2005-10-03,F
129245,Abbey,HARKIN,1998-05-06,F
202753,Alexandria,PERKINS,2000-07-27,F
110934,Brianna,THROSSELL,1996-02-10,F
120869,Shayna,JACK,1998-11-06,F
129243,Kiah,MELVERTON,1996-11-05,F
157412,Maddy,GOUGH,1999-06-08,F
106854,Bernhard,REITSHAMMER,1994-06-17,M
154837,Simon,BUCHER,2000-05-23,M
